Vertical,,,,Company,Vertical,Funding Amount (USD),Z_Score,,,,
Transportation,,,,WestConnex,Transportation,16600000000,1,,,,
Artificial Intelligence,,,,Gopuff,Transportation,1150000000,0.903775263,,,,
Cloud Computing,,,,Bolt,Transportation,712412239,0.637594407,,,,
Finance,,,,Sicepat Express,Transportation,170000000,0.204065565,,,,
B2B Software,,,,Apollo,Transportation,130000000,0.180319464,,,,
Health Care,,,,FarEye,Transportation,100000000,0.163698761,,,,
Food and Beverage,,,,Bounce,Transportation,97500000,0.162360074,,,,
,,,,Gatik,Transportation,85000000,0.155773843,,,,
,,,,dott,Transportation,84320790,0.155421086,,,,
,,,,Budbee,Transportation,62960360,0.144596232,,,,
,,,,Socar Malaysia,Transportation,54744033,0.140571023,,,,
,,,,Nexar,Transportation,52000000,0.139243817,,,,
,,,,Rapido,Transportation,51831591,0.139162642,,Var,7616747694177140000.00,2759845592.45
,,,,Voi,Transportation,44703936,0.135756513,,std. deviation,2759845592,
,,,,Rapido,Transportation,43428263,0.135152977,,corelation,,
,,,,Volta Trucks,Transportation,43334400,0.135108642,,,,
,,,,Sendle,Transportation,35000000,0.131211711,,,,
,,,,Simpplr,Transportation,32000000,0.129828185,,,,
,,,,Vulog,Transportation,31498237,0.129597774,,,,
,,,,Beam,Transportation,26000000,0.127091518,,,,
,,,,HopSkipDrive,Transportation,25000000,0.126639339,,,,
,,,,BluSmart Mobility,Transportation,24896631,0.126592662,,,,
,,,,Moove,Transportation,23000000,0.125738345,,,,
,,,,Beep,Transportation,20000000,0.124395254,,,,
,,,,Vortexa,Transportation,19000000,0.123949795,,,,
,,,,Veo,Transportation,16000000,0.122620119,,,,
,,,,WhereIsMyTransport,Transportation,14500000,0.121959048,,,,
,,,,MaaS Global,Transportation,12979090,0.12129132,,,,
,,,,Zeelo,Transportation,12000000,0.120862832,,,,
,,,,Vogo,Transportation,11500000,0.120644423,,,,
,,,,Finix,Transportation,10000000,0.119990866,,,,
,,,,Zypp Electric,Transportation,7000000,0.118691246,,,,
,,,,Gophr,Transportation,5605538,0.118090554,,,,
,,,,CY Vision,Transportation,5000000,0.117830377,,,,
,,,,StreetDrone,Transportation,4113750,0.117450321,,,,
,,,,Plentywaka,Transportation,120000,0.115748425,,,,
,,,,,,,,,,,
,,,,,mean,550484690.5,,,,,
